ID,연령,결혼여부,학력,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,과거통화횟수,요일,경제활동,사용금액,사용횟수,연락월,Target
51,25,미혼,전문학교,대출있음,없음,유선전화,139,3,0,수,경제활동인구,1722017,41525,1,0
52,60,결혼,전문학교,대출있음,없음,유선전화,118,2,0,목,경제활동인구,1722017,41525,2,0
53,36,결혼,전문학교,없음,없음,유선전화,358,4,0,월,경제활동인구,1722017,41525,2,0
54,51,결혼,고졸,없음,없음,유선전화,25,5,0,화,경제활동인구,1722017,41525,3,0
55,48,결혼,검정고시,대출있음,없음,유선전화,425,2,0,토,비경제활동인구,1722017,41525,3,0
56,52,결혼,중졸,대출있음,없음,유선전화,140,3,0,일,경제활동인구,1722017,41525,4,0
57,36,미혼,전문학교,없음,없음,유선전화,275,1,0,월,경제활동인구,1722017,41525,4,0
58,41,결혼,대졸학사,없음,없음,유선전화,140,6,0,일,경제활동인구,1722017,41525,5,0
59,53,결혼,석박사,대출있음,없음,유선전화,104,2,0,화,경제활동인구,1722017,41525,6,0
60,51,결혼,전문학교,없음,대출있음,유선전화,222,1,0,일,경제활동인구,1722017,41525,7,0
61,31,미혼,중졸,없음,없음,유선전화,590,3,0,수,경제활동인구,1722017,41525,7,1
62,35,결혼,검정고시,없음,없음,유선전화,144,7,0,수,경제활동인구,1722017,41525,8,0
63,45,미혼,고졸,대출있음,없음,유선전화,172,2,0,목,경제활동인구,1722017,41525,8,0
64,57,결혼,대졸학사,대출있음,없음,유선전화,59,2,0,수,비경제활동인구,1722017,41525,9,0
65,40,이혼,전문학교,대출있음,없음,유선전화,685,3,0,화,경제활동인구,1722017,41525,10,1
66,40,결혼,석박사,없음,없음,유선전화,96,1,0,토,경제활동인구,1722017,41525,10,0
67,32,미혼,석박사,대출있음,없음,유선전화,371,3,0,토,경제활동인구,1722017,41525,10,0
68,42,결혼,검정고시,대출있음,없음,유선전화,117,2,0,월,경제활동인구,1722017,41525,11,0
69,56,이혼,중졸,대출있음,없음,유선전화,378,4,0,월,경제활동인구,1722017,41525,11,0
70,54,결혼,대졸학사,없음,없음,유선전화,322,2,0,수,경제활동인구,1722017,41525,11,0
71,31,결혼,고졸,없음,없음,유선전화,179,2,0,목,경제활동인구,1722017,41525,11,0
72,37,미혼,전문학교,없음,없음,유선전화,394,3,0,토,경제활동인구,1722017,41525,12,0
73,35,미혼,대졸학사,없음,없음,유선전화,48,2,0,월,경제활동인구,1722017,41525,12,0
74,37,결혼,대졸학사,대출있음,없음,유선전화,173,2,0,화,경제활동인구,1722017,41525,12,0
75,28,미혼,대졸학사,없음,없음,유선전화,156,3,0,토,경제활동인구,1722017,41525,1,0
76,42,결혼,전문학교,없음,없음,유선전화,677,1,0,목,경제활동인구,1722017,41525,1,0
77,45,결혼,대졸학사,없음,없음,유선전화,65,1,0,금,경제활동인구,1722017,41525,2,0
78,38,이혼,대졸학사,없음,없음,유선전화,50,3,0,토,경제활동인구,1722017,41525,2,0
79,44,결혼,전문학교,대출있음,없음,유선전화,618,4,0,토,경제활동인구,1722017,41525,2,0
80,33,미혼,대졸학사,미확인,미확인,유선전화,38,5,0,월,경제활동인구,1722017,41525,4,0
81,51,결혼,대졸학사,없음,없음,유선전화,71,1,0,일,경제활동인구,1722017,41525,1,0
82,28,미혼,대졸학사,대출있음,없음,유선전화,73,2,0,일,경제활동인구,1722017,41525,2,0
83,52,미혼,중졸,대출있음,없음,유선전화,306,4,0,화,비경제활동인구,1722017,41525,3,0
84,43,결혼,미확인,없음,대출있음,휴대폰,86,2,0,토,경제활동인구,1722017,41525,4,0
85,51,결혼,전문학교,없음,없음,휴대폰,110,1,0,토,경제활동인구,1722017,41525,5,0
86,36,이혼,대졸학사,없음,없음,휴대폰,407,1,0,토,경제활동인구,1722017,41525,5,0
87,26,결혼,고졸,대출있음,없음,휴대폰,114,1,0,토,경제활동인구,1722017,41525,6,0
88,35,결혼,석박사,없음,없음,휴대폰,584,2,0,화,경제활동인구,1722017,41525,6,0
89,42,결혼,고졸,대출있음,없음,휴대폰,129,2,0,수,경제활동인구,1722017,41525,7,0
90,34,미혼,대졸학사,대출있음,없음,휴대폰,337,1,0,화,경제활동인구,1722017,41525,7,0
91,30,미혼,대졸학사,없음,없음,유선전화,74,1,0,수,경제활동인구,1722017,41525,8,0
92,46,이혼,대졸학사,대출있음,없음,휴대폰,89,1,0,목,경제활동인구,1722017,41525,9,0
93,24,결혼,전문학교,없음,없음,유선전화,139,1,0,일,경제활동인구,1722017,41525,9,0
94,60,결혼,대졸학사,대출있음,없음,휴대폰,212,1,0,일,경제활동인구,1722017,41525,10,0
95,37,결혼,석박사,대출있음,없음,휴대폰,314,2,0,화,경제활동인구,1722017,41525,10,0
96,39,이혼,대졸학사,없음,없음,휴대폰,179,2,0,금,경제활동인구,1722017,41525,11,0
97,33,결혼,대졸학사,대출있음,없음,유선전화,105,3,0,목,경제활동인구,1722017,41525,11,0
98,26,미혼,전문학교,대출있음,대출있음,휴대폰,894,7,0,화,경제활동인구,1722017,41525,12,1
99,31,결혼,전문학교,대출있음,없음,휴대폰,178,3,0,목,경제활동인구,1722017,41525,12,0
100,32,이혼,고졸,대출있음,없음,휴대폰,146,4,0,토,경제활동인구,1722017,41525,1,0
101,34,결혼,대졸학사,대출있음,없음,휴대폰,686,6,0,토,경제활동인구,1722017,41525,1,1
102,29,미혼,대졸학사,없음,대출있음,유선전화,357,7,0,수,경제활동인구,1722017,41525,2,0
103,50,결혼,미확인,없음,없음,휴대폰,200,1,0,토,경제활동인구,1722017,41525,2,0
104,24,미혼,고졸,없음,없음,휴대폰,538,3,0,월,경제활동인구,1722017,41525,8,0
105,31,미혼,대졸학사,대출있음,없음,휴대폰,800,6,0,수,경제활동인구,1722017,41525,1,0
106,30,결혼,전문학교,없음,없음,휴대폰,225,7,0,일,경제활동인구,1722017,41525,3,0
107,36,미혼,대졸학사,없음,없음,휴대폰,195,1,0,목,경제활동인구,1722017,41525,6,0
108,43,결혼,전문학교,없음,없음,휴대폰,339,1,0,금,경제활동인구,1722017,41525,9,0
109,29,결혼,전문학교,대출있음,없음,휴대폰,126,3,0,수,경제활동인구,1722017,41525,11,0
110,33,미혼,석박사,없음,없음,휴대폰,152,1,0,일,경제활동인구,1722017,41525,2,0
111,35,이혼,중졸,없음,대출있음,휴대폰,487,4,0,화,경제활동인구,1722017,41525,1,0
112,24,미혼,고졸,없음,없음,휴대폰,439,3,0,토,경제활동인구,1722017,41525,2,0
113,21,결혼,고졸,대출있음,없음,휴대폰,150,2,0,일,경제활동인구,1722017,41525,3,0
114,29,미혼,대졸학사,없음,대출있음,유선전화,203,2,0,일,경제활동인구,1722017,41525,4,0
115,27,미혼,검정고시,없음,없음,휴대폰,326,1,0,일,경제활동인구,1722017,41525,4,0
116,30,미혼,대졸학사,대출있음,없음,휴대폰,873,8,0,일,경제활동인구,1722017,41525,5,1
117,28,미혼,전문학교,없음,없음,휴대폰,102,2,0,수,경제활동인구,1722017,41525,6,0
118,50,결혼,고졸,대출있음,대출있음,휴대폰,110,1,0,화,경제활동인구,1722017,41525,6,0
119,51,결혼,고졸,대출있음,대출있음,휴대폰,33,2,0,금,경제활동인구,1722017,41525,7,0
120,48,결혼,전문학교,대출있음,없음,휴대폰,193,6,0,일,경제활동인구,1722017,41525,8,0
121,48,결혼,중졸,없음,대출있음,휴대폰,780,2,0,토,비경제활동인구,1722017,41525,9,0
122,30,결혼,고졸,없음,없음,휴대폰,70,2,0,화,경제활동인구,1722017,41525,10,0
123,49,결혼,전문학교,대출있음,없음,휴대폰,228,1,0,수,비경제활동인구,1722017,41525,10,0
124,24,미혼,중졸,대출있음,대출있음,휴대폰,132,1,0,목,경제활동인구,1722017,41525,11,0
125,42,미혼,전문학교,대출있음,없음,휴대폰,145,3,0,일,경제활동인구,1722017,41525,11,0
126,26,미혼,전문학교,없음,대출있음,휴대폰,111,8,0,토,경제활동인구,1722017,41525,12,0
127,37,미혼,대졸학사,대출있음,없음,휴대폰,47,1,0,목,미확인,1722017,41525,1,0
128,45,결혼,대졸학사,대출있음,없음,휴대폰,391,1,0,화,경제활동인구,1722017,41525,1,0
129,59,결혼,전문학교,없음,없음,유선전화,130,8,0,토,경제활동인구,1722017,41525,2,0
130,60,결혼,검정고시,없음,없음,휴대폰,79,1,0,수,비경제활동인구,1722017,41525,2,0
131,37,결혼,대졸학사,대출있음,없음,휴대폰,356,1,0,화,경제활동인구,1722017,41525,5,0
132,34,결혼,대졸학사,없음,없음,휴대폰,1227,2,0,수,경제활동인구,1722017,41525,10,1
133,34,결혼,대졸학사,없음,없음,휴대폰,388,2,0,수,경제활동인구,1722017,41525,1,0
134,32,결혼,대졸학사,대출있음,없음,휴대폰,67,1,0,일,경제활동인구,1722017,41525,1,0
135,38,결혼,대졸학사,없음,없음,휴대폰,89,2,0,금,경제활동인구,1722017,41525,2,0
136,33,결혼,대졸학사,없음,없음,휴대폰,36,7,0,수,경제활동인구,1722017,41525,3,0
137,35,결혼,대졸학사,대출있음,없음,휴대폰,417,1,0,월,경제활동인구,1722017,41525,4,0
138,34,결혼,석박사,없음,없음,휴대폰,126,2,0,목,경제활동인구,1722017,41525,5,0
139,30,결혼,전문학교,대출있음,없음,휴대폰,862,9,0,토,경제활동인구,1722017,41525,5,0
140,34,결혼,석박사,대출있음,없음,휴대폰,126,2,0,월,경제활동인구,1722017,41525,6,0
141,47,이혼,전문학교,없음,없음,휴대폰,204,6,0,일,경제활동인구,1722017,41525,7,0
142,32,결혼,대졸학사,대출있음,없음,휴대폰,78,3,0,일,경제활동인구,1722017,41525,7,0
143,41,결혼,대졸학사,대출있음,없음,휴대폰,266,1,0,일,경제활동인구,1722017,41525,8,0
144,59,미혼,대졸학사,대출있음,없음,휴대폰,95,1,0,금,경제활동인구,1722017,41525,8,0
145,50,결혼,대졸학사,없음,없음,휴대폰,70,3,0,토,경제활동인구,1722017,41525,9,0
146,31,미혼,석박사,대출있음,없음,휴대폰,215,3,0,수,경제활동인구,1722017,41525,10,0
147,59,결혼,중졸,대출있음,없음,휴대폰,96,1,0,일,경제활동인구,1722017,41525,11,0
148,48,결혼,전문학교,없음,대출있음,휴대폰,171,1,0,수,경제활동인구,1722017,41525,11,0
149,31,미혼,전문학교,대출있음,없음,휴대폰,82,3,0,토,경제활동인구,1722017,41525,12,0
150,31,미혼,대졸학사,대출있음,없음,휴대폰,124,2,0,토,경제활동인구,1722017,41525,1,0
151,30,결혼,대졸학사,대출있음,없음,휴대폰,95,1,0,목,경제활동인구,1722017,41525,2,0
152,43,결혼,대졸학사,없음,대출있음,휴대폰,250,2,0,금,경제활동인구,1722017,41525,1,0
153,35,미혼,석박사,대출있음,없음,휴대폰,93,1,0,금,경제활동인구,1722017,41525,3,0
154,56,결혼,미확인,미확인,미확인,휴대폰,119,1,0,금,경제활동인구,1722017,41525,4,0
155,30,결혼,대졸학사,없음,없음,휴대폰,65,2,0,월,경제활동인구,1722017,41525,6,0
156,56,결혼,대졸학사,없음,없음,휴대폰,250,1,0,금,경제활동인구,1722017,41525,8,0
157,43,미혼,대졸학사,없음,없음,휴대폰,99,5,0,월,경제활동인구,1722017,41525,10,0
158,47,결혼,중졸,없음,없음,휴대폰,80,2,0,목,경제활동인구,1722017,41525,11,0
159,47,이혼,전문학교,대출있음,없음,휴대폰,56,5,0,목,경제활동인구,1722017,41525,1,0
160,30,미혼,대졸학사,없음,없음,휴대폰,157,8,0,목,경제활동인구,1722017,41525,2,0
161,33,결혼,석박사,없음,없음,휴대폰,80,3,0,월,경제활동인구,1722017,41525,1,0
162,48,결혼,대졸학사,없음,없음,휴대폰,42,7,0,목,경제활동인구,1722017,41525,1,0
163,36,미혼,대졸학사,없음,대출있음,휴대폰,69,2,0,월,경제활동인구,1722017,41525,2,0
164,53,결혼,대졸학사,대출있음,대출있음,유선전화,81,1,0,금,경제활동인구,1722017,41525,3,0
165,33,미혼,대졸학사,없음,없음,유선전화,168,1,0,화,경제활동인구,1722017,41525,3,0
166,40,결혼,고졸,대출있음,없음,휴대폰,70,1,0,일,경제활동인구,1722017,41525,4,0
167,42,결혼,미확인,없음,없음,휴대폰,657,1,0,목,경제활동인구,1722017,41525,4,0
168,52,이혼,전문학교,대출있음,없음,휴대폰,734,1,0,월,경제활동인구,1722017,41525,5,0
169,50,결혼,대졸학사,대출있음,없음,휴대폰,595,2,0,금,경제활동인구,1722017,41525,6,0
170,33,결혼,대졸학사,대출있음,없음,휴대폰,341,1,0,토,경제활동인구,1722017,41525,7,0
171,43,결혼,대졸학사,대출있음,없음,휴대폰,89,1,0,일,경제활동인구,1722017,41525,8,0
172,40,이혼,고졸,없음,없음,휴대폰,137,1,0,금,경제활동인구,1722017,41525,9,0
173,39,결혼,대졸학사,없음,대출있음,휴대폰,1437,2,0,월,경제활동인구,1722017,41525,10,1
174,35,결혼,석박사,대출있음,없음,휴대폰,139,1,0,일,경제활동인구,1722017,41525,11,0
175,35,결혼,대졸학사,없음,없음,휴대폰,682,1,0,목,경제활동인구,1722017,41525,11,0
176,37,결혼,대졸학사,없음,없음,유선전화,274,1,0,일,경제활동인구,1722017,41525,12,0
177,33,결혼,전문학교,대출있음,대출있음,휴대폰,69,1,1,금,경제활동인구,1722017,41525,1,0
178,33,결혼,검정고시,없음,없음,휴대폰,90,2,1,목,경제활동인구,1722017,41525,2,0
179,32,미혼,대졸학사,없음,없음,휴대폰,1307,3,1,화,경제활동인구,1722017,41525,1,0
180,46,결혼,대졸학사,대출있음,없음,휴대폰,466,1,0,수,경제활동인구,1722017,41525,2,0
181,38,결혼,석박사,없음,없음,휴대폰,112,1,0,화,경제활동인구,1722017,41525,4,0
182,36,결혼,대졸학사,대출있음,대출있음,휴대폰,283,2,0,토,경제활동인구,1722017,41525,5,0
183,29,미혼,석박사,대출있음,대출있음,휴대폰,895,1,1,목,경제활동인구,1722017,41525,6,0
184,41,결혼,중졸,없음,없음,휴대폰,77,3,1,목,경제활동인구,1722017,41525,7,0
185,31,결혼,중졸,대출있음,없음,휴대폰,233,4,0,월,경제활동인구,1722017,41525,8,0
186,29,미혼,전문학교,대출있음,없음,휴대폰,104,1,1,목,경제활동인구,1722017,41525,10,0
187,34,결혼,대졸학사,없음,없음,휴대폰,128,2,0,수,경제활동인구,1722017,41525,12,0
188,51,결혼,대졸학사,대출있음,없음,휴대폰,673,1,0,월,경제활동인구,1722017,41525,2,0
189,34,결혼,석박사,대출있음,대출있음,휴대폰,379,2,0,월,경제활동인구,1722017,41525,1,0
190,44,이혼,석박사,없음,없음,휴대폰,37,2,0,수,경제활동인구,1722017,41525,1,0
191,32,미혼,대졸학사,대출있음,대출있음,휴대폰,97,1,0,토,경제활동인구,1722017,41525,2,0
192,28,미혼,전문학교,대출있음,없음,휴대폰,300,1,0,목,경제활동인구,1722017,41525,3,1
193,39,이혼,대졸학사,없음,없음,휴대폰,187,1,1,일,경제활동인구,1722017,41525,3,0
194,57,결혼,전문학교,대출있음,없음,휴대폰,97,2,0,수,경제활동인구,1722017,41525,4,0
195,64,결혼,석박사,대출있음,없음,휴대폰,65,2,0,월,경제활동인구,1722017,41525,4,0
196,24,미혼,전문학교,없음,없음,휴대폰,450,1,0,토,경제활동인구,1722017,41525,5,1
197,55,결혼,전문학교,대출있음,없음,휴대폰,140,3,1,수,경제활동인구,1722017,41525,6,0
198,40,결혼,검정고시,대출있음,없음,휴대폰,77,1,1,월,경제활동인구,1722017,41525,7,0
199,48,이혼,미확인,없음,없음,휴대폰,85,1,0,일,경제활동인구,1722017,41525,8,0
200,29,결혼,대졸학사,미확인,미확인,휴대폰,462,1,1,목,경제활동인구,1722017,41525,8,0
201,36,미혼,전문학교,대출있음,없음,휴대폰,140,1,0,토,경제활동인구,1722017,41525,9,0
202,33,결혼,석박사,대출있음,없음,휴대폰,446,2,0,토,경제활동인구,1722017,41525,9,0
203,26,결혼,전문학교,대출있음,없음,휴대폰,61,1,0,토,경제활동인구,1722017,41525,10,0
204,26,미혼,고졸,없음,없음,휴대폰,586,1,0,화,경제활동인구,1722017,41525,10,1
205,50,이혼,고졸,대출있음,대출있음,휴대폰,137,2,0,토,경제활동인구,1722017,41525,11,0
206,24,결혼,석박사,대출있음,없음,휴대폰,102,6,1,금,경제활동인구,1722017,41525,11,0
207,55,결혼,전문학교,없음,대출있음,휴대폰,307,1,1,금,경제활동인구,1722017,41525,12,1
208,48,결혼,대졸학사,대출있음,없음,휴대폰,871,1,0,화,경제활동인구,1722017,41525,1,1
209,39,결혼,석박사,없음,없음,휴대폰,156,3,0,일,경제활동인구,1722017,41525,1,0
210,47,결혼,대졸학사,없음,없음,휴대폰,242,1,1,일,경제활동인구,1722017,41525,2,0
211,39,결혼,고졸,대출있음,없음,휴대폰,257,1,0,일,경제활동인구,1722017,41525,3,0
212,42,결혼,전문학교,대출있음,없음,휴대폰,111,1,0,수,경제활동인구,1722017,41525,4,0
213,30,결혼,고졸,없음,없음,휴대폰,129,1,0,일,경제활동인구,1722017,41525,5,0
214,49,미혼,검정고시,없음,없음,휴대폰,135,2,1,목,경제활동인구,1722017,41525,6,0
215,41,결혼,고졸,대출있음,없음,휴대폰,233,2,0,화,경제활동인구,1722017,41525,7,0
216,54,미혼,대졸학사,대출있음,대출있음,휴대폰,121,1,1,월,경제활동인구,1722017,41525,7,0
217,48,결혼,중졸,미확인,미확인,휴대폰,313,1,2,수,경제활동인구,1722017,41525,8,0
218,37,결혼,검정고시,없음,없음,휴대폰,253,2,1,월,경제활동인구,1722017,41525,9,0
219,39,결혼,석박사,없음,대출있음,휴대폰,831,4,0,월,경제활동인구,1722017,41525,10,0
220,31,결혼,고졸,대출있음,없음,휴대폰,122,1,1,수,경제활동인구,1722017,41525,12,0
221,34,미혼,대졸학사,없음,대출있음,휴대폰,398,2,0,목,경제활동인구,1722017,41525,2,0
222,48,결혼,고졸,없음,없음,휴대폰,311,2,0,수,경제활동인구,1722017,41525,3,0
223,44,결혼,고졸,대출있음,없음,휴대폰,50,5,0,화,경제활동인구,1722017,41525,4,0
224,32,미혼,전문학교,없음,없음,유선전화,28,1,0,수,경제활동인구,1722017,41525,6,0
225,39,결혼,전문학교,없음,없음,휴대폰,294,2,0,화,경제활동인구,1722017,41525,7,0
226,54,이혼,미확인,없음,없음,휴대폰,152,2,1,수,경제활동인구,1722017,41525,9,0
227,33,미혼,전문학교,대출있음,대출있음,휴대폰,113,1,0,월,경제활동인구,1722017,41525,12,0
228,34,미혼,대졸학사,없음,없음,휴대폰,146,1,1,수,경제활동인구,1722017,41525,2,0
229,32,미혼,전문학교,대출있음,대출있음,휴대폰,209,2,0,화,경제활동인구,1722017,41525,7,0
230,28,결혼,고졸,대출있음,없음,휴대폰,224,1,1,월,경제활동인구,1722017,41525,11,0
231,29,미혼,고졸,대출있음,없음,휴대폰,528,1,1,화,경제활동인구,1722017,41525,1,0
232,56,결혼,중졸,없음,없음,휴대폰,206,1,0,월,비경제활동인구,1722017,41525,2,0
233,35,결혼,대졸학사,대출있음,없음,휴대폰,272,4,1,토,경제활동인구,1722017,41525,3,0
234,36,미혼,중졸,대출있음,없음,휴대폰,279,1,1,토,경제활동인구,1722017,41525,5,0
235,27,결혼,석박사,없음,없음,휴대폰,466,1,0,토,경제활동인구,1722017,41525,6,0
236,28,미혼,대졸학사,없음,대출있음,휴대폰,647,4,0,화,비경제활동인구,1722017,41525,9,1
237,34,이혼,석박사,대출있음,없음,휴대폰,1190,2,0,수,경제활동인구,1722017,41525,10,1
238,24,미혼,석박사,없음,없음,휴대폰,582,2,0,월,경제활동인구,1722017,41525,12,0
239,40,결혼,대졸학사,대출있음,대출있음,휴대폰,133,2,0,목,경제활동인구,1722017,41525,1,0
240,24,미혼,고졸,없음,없음,휴대폰,297,1,0,월,경제활동인구,1722017,41525,1,0
241,32,미혼,대졸학사,대출있음,없음,휴대폰,61,4,1,목,경제활동인구,1722017,41525,3,0
242,31,결혼,대졸학사,대출있음,없음,유선전화,45,4,0,토,경제활동인구,1722017,41525,4,0
243,36,결혼,대졸학사,대출있음,없음,휴대폰,1064,1,0,목,경제활동인구,1722017,41525,6,1
244,37,미혼,석박사,없음,없음,휴대폰,89,1,0,화,경제활동인구,1722017,41525,8,0
245,36,미혼,대졸학사,대출있음,없음,휴대폰,287,1,0,월,경제활동인구,1722017,41525,10,1
246,46,결혼,고졸,없음,없음,휴대폰,200,2,1,화,미확인,1722017,41525,12,1
247,29,결혼,대졸학사,미확인,미확인,휴대폰,113,1,1,월,경제활동인구,1722017,41525,2,0
248,30,미혼,대졸학사,없음,대출있음,휴대폰,199,1,1,수,경제활동인구,1722017,41525,1,1
249,22,미혼,전문학교,대출있음,없음,휴대폰,147,1,0,목,경제활동인구,1722017,41525,2,0
250,59,결혼,대졸학사,대출있음,대출있음,휴대폰,92,1,0,토,경제활동인구,1722017,41525,2,0
251,26,미혼,대졸학사,대출있음,없음,휴대폰,226,2,0,토,경제활동인구,1722017,41525,3,0
252,46,결혼,전문학교,대출있음,없음,휴대폰,258,1,0,토,비경제활동인구,1722017,41525,3,0
253,69,결혼,미확인,대출있음,없음,휴대폰,400,3,0,토,경제활동인구,1722017,41525,3,0
254,64,결혼,미확인,대출있음,대출있음,휴대폰,219,1,0,금,미확인,1722017,41525,4,0
255,33,결혼,전문학교,없음,없음,휴대폰,147,1,1,금,경제활동인구,1722017,41525,4,0
256,63,결혼,중졸,없음,없음,휴대폰,511,1,1,목,비경제활동인구,1722017,41525,5,1
257,40,미혼,미확인,없음,없음,휴대폰,224,1,1,금,미확인,1722017,41525,6,1
258,62,결혼,대졸학사,대출있음,없음,유선전화,722,1,0,토,경제활동인구,1722017,41525,6,1
259,60,결혼,미확인,대출있음,없음,휴대폰,290,1,1,화,경제활동인구,1722017,41525,7,1
260,34,결혼,대졸학사,대출있음,없음,휴대폰,87,1,1,목,경제활동인구,1722017,41525,8,0
261,29,결혼,전문학교,없음,없음,휴대폰,424,1,1,목,경제활동인구,1722017,41525,9,1
262,37,결혼,전문학교,없음,대출있음,휴대폰,46,3,0,토,경제활동인구,1722017,41525,10,0
263,29,미혼,대졸학사,없음,없음,휴대폰,134,2,2,토,경제활동인구,1722017,41525,11,1
264,53,결혼,고졸,없음,대출있음,휴대폰,242,1,1,목,미확인,1722017,41525,1,0
265,18,미혼,고졸,없음,없음,휴대폰,412,2,0,토,비경제활동인구,1722017,41525,2,1
